puzzle indices,labels
0,1
0,2
0,2
0,1
1,2
1,3
1,2
1,1
2,3
2,1
2,2
2,3
3,3
3,2
3,1
3,2
4,1
4,2
4,1
4,3
5,1
5,1
5,2
5,1
6,1
6,2
6,1
6,2
7,2
7,1
7,3
7,3
8,1
8,2
8,1
8,2
9,3
9,1
9,2
9,1
10,1
10,2
10,1
10,3
11,3
11,2
11,1
11,2
12,2
12,2
12,1
12,2
13,2
13,1
13,2
13,1
14,2
14,1
14,2
14,1
15,2
15,1
15,2
15,1
16,2
16,2
16,1
16,2
17,1
17,2
17,1
17,2
18,1
18,3
18,3
18,2
19,1
19,3
19,2
19,2
20,2
20,1
20,1
20,1
21,3
21,3
21,2
21,1
22,2
22,1
22,3
22,2
23,1
23,3
23,1
23,2
24,1
24,3
24,2
24,1
25,1
25,2
25,1
25,3
26,2
26,2
26,2
26,1
27,1
27,1
27,1
27,3
28,2
28,1
28,2
28,3
29,1
29,2
29,1
29,2
30,2
30,1
30,2
30,1
31,2
31,1
31,2
31,3
32,2
32,3
32,1
32,1
33,1
33,2
33,3
33,2
34,1
34,1
34,2
34,2
